A,B,C
1.2094543954037773,5.1009509221691545,5.754074706196346
1.3487467100905293,5.568229559321148,3.6741527026173313
2.6289670546815933,4.290370787005397,3.7418351033252573
1.4308009397537562,1.850634438354541,5.195639686140564
4.6047955118067785,2.6845807639585306,6.848430386329389
1.1526146644092896,2.955966535356514,6.4194006906144505
3.1448081601357076,1.3664538906184327,4.095189096936825
2.3287907940387194,3.2838353510072684,5.588589536760804
4.408346475717474,3.865842572552657,5.3952597582334345
1.6386495868878797,2.6805304965491703,3.8605480964765264
2.348866628437102,1.9453093478903822,3.1748171874923257
2.335185578515821,1.4407864746303802,2.3918823907061264
1.9806534100704445,4.1415876136539636,6.394544684422097
1.0066822143168914,1.064145546263067,2.2857960670464834
2.7451031736608735,2.759568415491006,4.593480623782001
1.3504539990016915,2.145648822401421,4.6876818875284405
3.390397857951962,3.659987453408823,2.7306961683080386
1.2795078458367297,4.618316755596207,5.279658584760556
2.261835894943453,5.545766378183897,6.579115967869567
2.793286833227775,4.1940041962155075,5.880664849120185
4.621594609137995,5.958965498759579,3.946296333092756
1.3710582455139804,5.820295861519409,2.632349794168791
1.5687002577260043,4.1499535486212284,6.874647831086975
4.160287377435207,2.166865920430798,4.585517433269553
1.084943899267957,3.419057413215733,5.148088126137916
4.644602192361283,1.8879486528695253,6.011383227605188
3.2936323427237086,5.9597888639710845,3.931230814463729
2.061286821046253,3.222499600745371,2.3102788232773697
4.351350576780538,4.758250790137651,2.6800789555438076
4.075178989919934,1.2206492800322195,5.342235685162706
2.3738486326238584,1.673638003183168,3.7476984280990013
4.2059863651681315,1.9658848502117685,6.355386038811692
1.8274498826644456,2.2818117364827124,5.70082254410298
3.435610104762213,2.7602376522483807,6.902195733451331
3.1082998086456666,2.359649261633758,5.344171771822451
4.237354098575219,3.1713429180632686,3.5190288956839133
2.2610526088639524,3.1017865836752705,5.955545789536972
2.592952605871597,1.5431041724080083,2.1412901713914207
4.077116359655696,1.3130438741415842,4.607953858556461
3.05100853545626,2.7753072346393957,6.356973339499629
3.739348874644024,1.4439445243368112,4.5735957010305786
3.553413057221995,3.1660015693858057,2.686857489629495
3.666630524292724,1.0428060738643465,4.500612553387043
4.560394282147609,3.6790050930328224,4.727288705346218
2.944545880574256,1.3674199635752622,3.8450027415493233
3.6738808876125884,4.471029573496175,6.467167801044335
2.4980865272899333,3.021036335421237,3.700404252590868
1.1273652269644074,5.926740874441637,3.3587569419226013
4.016692687435489,2.3127000985952497,4.531507434071573
1.7258596636601635,3.3625537020352168,3.016360256317804
